ID,day,month,year,hour,minute,second,latitude,longitude,depth,mw,mw_err,mc,cluster_id
162,19,10,1861,23,45,0,37.9833,-1.1333,0,3.291,0.234,5.25,0
163,29,11,1861,6,30,0,38,-0.7,0,3.836,0.264,5.25,0
164,20,12,1861,22,30,0,38,-0.7,0,3.5635,0.249,5.25,0
165,22,1,1862,9,0,0,37.7,-1.7,0,3.5635,0.249,5.25,0
166,7,2,1862,9,30,0,38,-0.7,0,3.291,0.234,5.25,242
167,8,2,1862,15,0,0,38,-0.7,0,3.291,0.234,5.25,242
168,1,3,1862,15,30,0,38,-0.7,0,3.291,0.234,5.25,243
169,1,3,1862,19,30,0,38,-0.7,0,3.291,0.234,5.25,243
170,16,3,1862,17,15,0,38,-0.7,0,3.291,0.234,5.25,71
171,17,3,1862,18,15,0,38,-0.7,0,3.291,0.234,5.25,71
172,19,3,1862,22,30,0,38,-0.7,0,4.1085,0.279,5.25,71
173,25,3,1862,23,45,0,38,-0.7,0,3.836,0.264,5.25,71
174,2,4,1862,21,30,0,38,-0.7,0,3.291,0.234,5.25,0
175,18,4,1862,5,30,0,38,-0.7,0,3.291,0.234,5.25,0
176,4,6,1862,3,30,0,38,-0.7,0,3.291,0.234,5.25,0
177,17,6,1862,7,0,0,38,-0.7,0,3.291,0.234,5.25,0
178,1,7,1862,22,0,0,38,-0.7,0,3.836,0.264,5.25,0
179,17,7,1862,16,20,0,38,-0.7,0,4.381,0.294,5.25,45
180,21,7,1862,3,0,0,38,-0.7,0,3.0185,0.219,5.25,45
181,21,7,1862,18,0,0,38,-0.7,0,3.0185,0.219,5.25,45
182,31,7,1862,1,0,0,38,-0.7,0,4.381,0.294,5.25,0
183,21,10,1862,3,0,0,38,-0.7,0,3.291,0.234,5.25,0
184,11,11,1862,19,30,0,38,-0.7,0,3.291,0.234,5.25,0
185,23,11,1862,5,30,0,38,-0.7,0,3.291,0.234,5.25,0
186,8,3,1863,21,0,0,38,-0.7,0,3.836,0.264,5.25,0
187,2,4,1863,0,0,0,37.4,-2.4,0,3.836,0.264,5.25,0
188,12,4,1863,6,45,0,38,-0.7,0,3.291,0.234,5.25,0
189,19,4,1863,22,30,0,38,-0.7,0,3.5635,0.249,5.25,0
190,31,5,1863,16,20,0,38.3333,-0.5,0,3.5635,0.249,5.25,0
191,10,6,1863,11,10,0,37.3667,-1.9333,0,5.1985,0.339,5.25,16
192,10,6,1863,12,30,0,37.3667,-1.9333,0,3.836,0.264,5.25,16
193,10,6,1863,16,0,0,37.3667,-1.9333,0,4.381,0.294,5.25,16
194,10,6,1863,17,0,0,37.3667,-1.9333,0,3.291,0.234,5.25,16
195,11,6,1863,0,0,0,37.3667,-1.9333,0,3.836,0.264,5.25,16
196,12,6,1863,20,10,0,38,-0.7,0,3.836,0.264,5.25,0
197,15,6,1863,3,30,0,37.3667,-1.9333,0,4.1085,0.279,5.25,16
198,19,6,1863,9,0,0,37.3667,-1.9333,0,4.6535,0.309,5.25,16
199,20,6,1863,6,30,0,37.3667,-1.9333,0,4.381,0.294,5.25,16
200,22,6,1863,10,30,0,37.3667,-1.9333,0,4.1085,0.279,5.25,16
201,25,6,1863,14,30,0,37.3667,-1.9333,0,4.1085,0.279,5.25,16
